Date,btc_price,vix_level,Returns,RealizedVol_21d,VIX_decimal,VIX_change,VIX_lag1
2021-04-08,56224.08,16.95,-0.03517283757842904,0.5197073996709546,0.16949999999999998,-0.21000000000000085,0.1716
2021-04-09,57666.75,16.69,0.02533561603174661,0.5037546002592783,0.16690000000000002,-0.259999999999998,0.16949999999999998
2021-04-12,59835.75,16.91,0.03692255750138429,0.49385774528185133,0.1691,0.21999999999999886,0.16690000000000002
2021-04-13,59935.0,16.65,0.001657333242347292,0.4926977737600444,0.16649999999999998,-0.26000000000000156,0.1691
2021-04-14,63220.25,16.99,0.053364019565385945,0.5108021490922758,0.1699,0.33999999999999986,0.16649999999999998
2021-04-15,62382.46,16.57,-0.013340515105783268,0.4670809202609749,0.16570000000000001,-0.41999999999999815,0.1699
2021-04-16,63398.46,16.25,0.01615542480868193,0.46825299955389477,0.1625,-0.3200000000000003,0.16570000000000001
2021-04-19,55550.0,17.29,-0.13215605484170823,0.6628819412972472,0.1729,1.0399999999999991,0.1625
2021-04-20,56199.26,18.68,0.011620073467531356,0.664416726114645,0.1868,1.3900000000000006,0.1729
2021-04-21,56780.9,17.5,0.010296412017671841,0.6655130398999325,0.175,-1.1799999999999997,0.1868
2021-04-22,54982.7,18.71,-0.032181411272713234,0.6528393479601349,0.18710000000000002,1.2100000000000009,0.175
2021-04-23,51600.0,17.33,-0.06349691781061217,0.6893673743568972,0.17329999999999998,-1.3800000000000026,0.18710000000000002
2021-04-26,49652.95,17.64,-0.03846386785001066,0.7004142251191264,0.1764,0.3100000000000023,0.17329999999999998
2021-04-27,53257.07,17.56,0.0700727610919305,0.7334522364506683,0.17559999999999998,-0.08000000000000185,0.1764
2021-04-28,55194.32,17.28,0.035729483708468734,0.6964643168524082,0.1728,-0.2799999999999976,0.17559999999999998
2021-04-29,54443.9,17.61,-0.013689235719452242,0.6927366054154352,0.1761,0.3299999999999983,0.1728
2021-04-30,52990.27,18.61,-0.027062501925763982,0.69050167082274,0.1861,1.0,0.1761
2021-05-03,56898.6,18.31,0.07116242446747911,0.7387000500317764,0.18309999999999998,-0.3000000000000007,0.1861
2021-05-04,56812.89,19.48,-0.0015074996595636492,0.7372558881052862,0.1948,1.1700000000000017,0.18309999999999998
2021-05-05,54751.93,19.15,-0.03695061738374861,0.7460088950136298,0.19149999999999998,-0.33000000000000185,0.1948
2021-05-06,56858.73,18.39,0.03775715119552814,0.7590067801525154,0.1839,-0.759999999999998,0.19149999999999998
2021-05-07,55965.29,16.69,-0.015838093274519238,0.7509963129810359,0.16690000000000002,-1.6999999999999993,0.1839
2021-05-10,57487.75,19.66,0.026840204490193642,0.7516592133383412,0.1966,2.969999999999999,0.16690000000000002
2021-05-11,55307.46,21.84,-0.03866408165553459,0.7502934061261333,0.2184,2.1799999999999997,0.1966
2021-05-12,56902.4,27.59,0.02842971953210416,0.7584113042718071,0.2759,5.75,0.2184
2021-05-13,54469.4,23.13,-0.04369844340745921,0.7427424962652588,0.23129999999999998,-4.460000000000001,0.2759
2021-05-14,49305.39,18.81,-0.09960567039587787,0.8090392616575263,0.1881,-4.32,0.23129999999999998
2021-05-17,45410.48,19.72,-0.08229049028834545,0.8384350657034011,0.1972,0.9100000000000001,0.1881
2021-05-18,44795.2,21.34,-0.013641924589354204,0.72407624011723,0.2134,1.620000000000001,0.1972
2021-05-19,43303.5,22.18,-0.03386752767305268,0.7239130845643306,0.2218,0.8399999999999999,0.2134
2021-05-20,38311.29,20.67,-0.12248883233457164,0.8121845232088133,0.20670000000000002,-1.509999999999998,0.2218
2021-05-21,40061.2,20.15,0.0446636540404608,0.8393262953605491,0.20149999999999998,-0.5200000000000031,0.20670000000000002
2021-05-24,32576.91,18.4,-0.20680452964270124,1.0610259180954014,0.184,-1.75,0.20149999999999998
2021-05-25,39024.88,18.84,0.18059563623108765,1.2689318316169003,0.1884,0.4400000000000013,0.184
2021-05-26,37626.53,17.36,-0.03649000475072306,1.235914039642072,0.1736,-1.4800000000000004,0.1884
2021-05-27,38755.25,16.74,0.02955684379912249,1.2328055743746924,0.1674,-0.620000000000001,0.1736
2021-05-28,38486.87,16.76,-0.006949086327525222,1.233243499446763,0.16760000000000003,0.020000000000003126,0.1674
